Participant,Item,EventIndex,EventTime,TimeSinceLastEvent,TotalItemTime,Results.reception.time,Controller.name,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,Subject,age,group,item,itemCond,Sentence1,Sentence1Cond,Sentence2,Sentence2Cond,Sentence3,Sentence3Cond,Sentence4,Sentence4Cond,Sentence5,Sentence5Cond,Sentence6,Sentence6Cond,Sentence7,Sentence7Cond,Sentence8,Sentence8Cond,Comments,final_graphs,object,object_2,location_2,distance
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,I e-mailed your assistant earlier this morning .,"(19, 1)",16.0
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,He had this habit of telling you everything.,"(0, 5)",5.0
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,Dignitaries condemn the rebellious act.,"(11, 4)",8.54400374531753
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,I put my angry foot in the cool water.,"(18, 5)",15.524174696260024
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,Jane calls the bluff. ,"(30, 1)",27.0
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,Dr. Hart killed our pet.,"(13, 2)",10.04987562112089
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('Ben made another happy announcement on March 28.', (3, 1))",Ben made another happy announcement on March 28.,She loves playful giraffes.,"(30, 5)",27.294688127912362
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,He had this habit of telling you everything.,"(0, 5)",19.4164878389476
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,Dignitaries condemn the rebellious act.,"(11, 4)",8.54400374531753
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,I put my angry foot in the cool water.,"(18, 5)",4.123105625617661
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,Jane calls the bluff. ,"(30, 1)",11.0
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,Dr. Hart killed our pet.,"(13, 2)",6.082762530298219
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('I e-mailed your assistant earlier this morning .', (19, 1))",I e-mailed your assistant earlier this morning .,She loves playful giraffes.,"(30, 5)",11.704699910719626
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('He had this habit of telling you everything.', (0, 5))",He had this habit of telling you everything.,Dignitaries condemn the rebellious act.,"(11, 4)",11.045361017187261
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('He had this habit of telling you everything.', (0, 5))",He had this habit of telling you everything.,I put my angry foot in the cool water.,"(18, 5)",18.0
32ab20bbeccaa48346503c065698e438,6,49,1742304542400,3998.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Final,Ben made another happy announcement on March 28.:(3%2C 1);I e-mailed your assistant earlier this morning .:(19%2C 1);He had this habit of telling you everything.:(0%2C 5);Dignitaries condemn the rebellious act.:(11%2C 4);I put my angry foot in the cool water.:(18%2C 5);Jane calls the bluff. :(30%2C 1);Dr. Hart killed our pet.:(13%2C 2);She loves playful giraffes.:(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,,"('He had this habit of telling you everything.', (0, 5))",He had this habit of telling you everything.,Jane calls the bluff. ,"(30, 1)",30.265491900843113
