Participant,Item,EventIndex,EventTime,TimeSinceLastEvent,TotalItemTime,Results.reception.time,Controller.name,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,item,Comments,final_graphs,object,object_2,location_2,distance
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('cat', (5, 0, 0, 0))",cat,dog,"(2, 0, 1, 1)",3.0
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('cat', (5, 0, 0, 0))",cat,snake,"(3, 0, 0, 1)",2.0
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('cat', (5, 0, 0, 0))",cat,hamster,"(1, 0, 0, 1)",4.0
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('dog', (2, 0, 1, 1))",dog,snake,"(3, 0, 0, 1)",1.0
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('dog', (2, 0, 1, 1))",dog,hamster,"(1, 0, 0, 1)",1.0
8625c054d78abdfb4dce4fa7872cfd0e,1,10,1743629441512,852.0,8479,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1),item1,,"('snake', (3, 0, 0, 1))",snake,hamster,"(1, 0, 0, 1)",2.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('sprite', (3, 0, 0, 0))",sprite,pepsi,"(5, 0, 1, 1)",2.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('sprite', (3, 0, 0, 0))",sprite,fanta,"(2, 0, 1, 0)",1.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('sprite', (3, 0, 0, 0))",sprite,dr. pepper,"(1, 0, 1, 0)",2.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('pepsi', (5, 0, 1, 1))",pepsi,fanta,"(2, 0, 1, 0)",3.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('pepsi', (5, 0, 1, 1))",pepsi,dr. pepper,"(1, 0, 1, 0)",4.0
8625c054d78abdfb4dce4fa7872cfd0e,2,12,1743629433030,1571.0,15688,1743629442,PennController,0,demo,,DragDrop,pt-1,Final,sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0),item2,,"('fanta', (2, 0, 1, 0))",fanta,dr. pepper,"(1, 0, 1, 0)",1.0
